trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.029600459150969982	stim	0		89	29.299454868305475	1.4915375597774982
1	1.5211380189284682	stim	0		90	30.790992428082973	1.4932360989041626
2	3.014374117832631	stim	0		90	32.284228526987135	1.4999200869351625
3	4.514294204767793	stim	0		89	33.7841486139223	1.4834424583241343
4	5.997736663091928	stim	0		91	35.26759107224643	1.5158261498436332
5	7.513562812935561	stim	0		89	36.783417222090065	1.4839540938846767
6	8.997516906820238	stim	0		91	38.26737131597474	1.5166960852220654
7	10.514212992042303	stim	0		90	39.78406740119681	1.4999886807054281
8	12.014201672747731	stim	0		90	41.284056081902236	1.4999304101802409
9	13.514132082927972	stim	0		90	42.78398649208248	1.4999835859052837
10	15.014115668833256	stim	0		90	44.28397007798776	1.4992597880773246
11	16.51337545691058	stim	0		90	45.783229866065085	1.5006470531225204
12	18.0140225100331	stim	0		90	47.283876919187605	1.4999502110294998
13	19.5139727210626	stim	0		90	48.783827130217105	1.500102962832898
14	21.0140756838955	stim	0		90	50.28393009305	1.499846130143851
15	22.51392181403935	stim	0		90	51.783776223193854	1.4999730079434812
16	24.01389482198283	stim	0		90	53.283749231137335	1.5000908458605409
17	25.51398566784337	stim	0		90	54.783840076997876	1.4998496719636023
18	27.013835339806974	stim	0		90	56.28368974896148	1.4999188091605902
19	28.513754148967564	stim	0		90	57.78360855812207	1.5004186620935798
20	30.014172811061144	stim	0		90	59.28402722021565	1.4995094118639827
21	31.513682222925127	stim	0		90	60.78353663207963	1.4998369878157973
22	33.013519210740924	stim	0		90	62.28337361989543	1.5001023160293698
23	34.513621526770294	stim	0		90	63.7834759359248	1.4995345319621265
24	36.01315605873242	stim	0		90	65.28301046788692	1.5003711669705808
25	37.513527225703	stim	0		90	66.7833816348575	1.4999726861715317
26	39.01349991187453	stim	0		90	68.28335432102904	1.499878247268498
27	40.51337815914303	stim	0		90	69.78323256829754	1.5000641630031168
28	42.01344232214615	stim	0		90	71.28329673130065	1.4999455818906426
29	43.51338790403679	stim	0		90	72.7832423131913	1.4999677208252251
30	45.013355624862015	stim	0		90	74.28321003401652	1.4999571600928903
31	46.513312784954906	stim	0		90	75.78316719410941	1.4999790731817484
32	48.013291858136654	stim	0		90	77.28314626729116	1.4999726680107415
33	49.513264526147395	stim	0		89	78.7831189353019	1.490791556891054
34	51.00405608303845	stim	0		42	80.27391049219295	0.7091228598728776
